y,bitstring_msb_first,phase_estimate_turns,ideal_probability,counts,frequency,circular_error_turns
0,000,0.0,0.021593218925782903,75,0.018310546875,0.3
1,001,0.125,0.05176812953552161,206,0.05029296875,0.175
2,010,0.25,0.5775210180698601,2452,0.5986328125,0.04999999999999999
3,011,0.375,0.2593356191884278,985,0.240478515625,0.07499999999999996
4,100,0.5,0.04090678107421711,181,0.044189453125,0.19999999999999996
5,101,0.625,0.019440216797958324,83,0.020263671875,0.32499999999999996
6,110,0.75,0.014487479117612875,59,0.014404296875,0.44999999999999996
7,111,0.875,0.014947537290618537,55,0.013427734375,0.42500000000000004
